emp_prse,jobs_1000,locquotient,h_mean,a_mean,mean_prse,h_median,a_median
23.799999,.064000003,1.11,24.43,"50,820",15.7,16.78,"34,900"
3.7,5.7729998,1.3099999,83.84,"174,390",2.9,74.18,"154,300"
9.3999996,.029999999,.15000001,90.16,"187,540",5.4,89,"185,110"
7.5999999,2.289,1.12,25.57,"53,190",4,22.86,"47,540"
23,.29699999,.80000001,29.06,"60,450",7.3,27.34,"56,860"
19.200001,.53299999,1.71,23.25,"48,370",6.1,22.31,"46,410"
13,.285,.47999999,*,*,*,*,*
21.799999,.178,.79000002,*,"121,260",6.8,*,"108,200"
7.6999998,.329,.92000002,*,*,*,*,*
10.8,.013,.25999999,*,"105,200",7,*,"89,530"
11.8,.098999999,.37,*,"135,640",3.5,*,"133,110"
18.200001,.29499999,.83999997,*,"131,320",5,*,"114,880"
19.200001,.1,1.33,*,"113,570",9.3,*,"97,090"
18.200001,.094999999,.64999998,*,"123,810",4.5,*,"108,700"
36.700001,.013,.31,*,*,*,*,*
11.7,.072999999,.75999999,*,*,*,*,*
8.5,.028000001,.69999999,*,*,*,*,*
14.6,.071999997,1.04,*,*,*,*,*
15,.043000001,.47999999,*,"131,580",8.4,*,"98,690"
16.5,.027000001,.94999999,*,*,*,*,*
17.299999,.063000001,.55000001,*,"125,030",6.9,*,"99,740"
12.4,.285,1.1,*,*,*,*,*
7.3000002,.066,.69,*,*,*,*,*
10.2,.16599999,1.42,*,*,*,*,*
14.4,.713,.51999998,*,"160,300",8.1,*,"143,430"
15.5,.259,.66000003,*,*,*,*,*
12.9,.234,.55000001,*,"72,280",6,*,"60,140"
30.799999,.037999999,.38,*,*,*,*,*
21.1,.068999998,.57999998,*,"136,880",11.3,*,"106,010"
15.9,.90499997,1.36,*,*,*,*,*
15.8,.185,.92000002,*,*,*,*,*
10.3,.43399999,.89999998,*,*,*,*,*
8.5,.198,1.03,*,*,*,*,*
13.7,.1,.67000002,*,*,*,*,*
33.099998,.122,.75999999,*,*,*,*,*
1.5,1.036,1.08,*,*,*,*,*
11.6,.16500001,1.41,*,*,*,*,*
12.3,.54500002,.68000001,32.24,"67,070",3.5,28.31,"58,890"
6.6999998,2.7679999,.95999998,17.7,"36,820",4.2,15.42,"32,060"
11.8,.57200003,.57999998,*,"67,870",2.9,*,"68,710"
7.5,7.0380001,.70999998,*,"81,120",1.6,*,"82,800"
12.7,2.8080001,.63999999,*,"75,850",2.8,*,"74,690"
8.1000004,6.8049998,.94,*,"79,760",1.7,*,"81,850"
16.5,.292,.52999997,*,"76,920",5.1,*,"75,020"
11,.92699999,.70999998,*,"83,190",1.9,*,"85,480"
24.799999,.324,.52999997,*,"78,420",7.8,*,"74,050"
13.9,.66500002,.69999999,*,"84,700",4.1,*,"87,910"
31,.113,.41999999,*,"86,130",7.4,*,"81,910"
38,.43700001,1.03,34.71,"72,190",5.1,33.95,"70,620"
12.2,1.477,.88,22.49,"46,770",5.4,18.83,"39,170"
7.6999998,3.4070001,1.65,*,"47,250",7.1,*,"33,950"
10.4,5.348,1.25,19.56,"40,690",1.5,18.81,"39,110"
31.799999,.046999998,1.1,26.45,"55,010",7.1,22.36,"46,500"
10.3,.055,.68000001,35.76,"74,380",4.3,34.15,"71,040"
8.6999998,.13,1.51,24.09,"50,100",6.9,22.88,"47,590"
5.1999998,.54799998,.62,38.22,"79,490",2.4,37.11,"77,190"
10,.54100001,.86000001,21.57,"44,860",2.3,21.74,"45,230"
22,.098999999,1.35,22.36,"46,510",2.8,21.69,"45,110"
8.6000004,1.033,.93000001,39.49,"82,140",2,41.07,"85,420"
4.9000001,8.7110004,.95999998,*,"35,480",0.9,*,"35,110"
24.4,1.219,1.74,22.25,"46,270",2.1,20.54,"42,710"
6,.66799998,2.5,61.05,"126,990",2.1,57.35,"119,280"
39.099998,.055,1.65,*,*,*,*,*
13.1,.26899999,3.4100001,38.66,"80,400",6.7,31.8,"66,130"
8.5,1.1109999,5.3000002,40.2,"83,610",2.4,37.99,"79,010"
16.5,.055,1.12,31.91,"66,380",3.8,28.11,"58,460"
13.6,.26100001,1.1900001,34.27,"71,280",3.7,32,"66,560"
7.6999998,.83499998,6.29,37.29,"77,570",3.5,32.59,"67,790"
15.3,.197,.64999998,15.62,"32,480",5.1,14.67,"30,520"
4.5999999,2.3499999,1.54,27.73,"57,670",1.4,25.62,"53,280"
10.7,.57099998,1.45,*,*,*,*,*
10.5,.43200001,5.3600001,30.95,"64,380",5.1,26.03,"54,150"
11.9,.189,3.47,43.82,"91,150",5.2,35.64,"74,130"
16.5,1.809,5.9299998,*,*,*,*,*
5.3000002,3.6300001,4.4000001,61.29,"127,480",2.7,51.84,"107,830"
36.099998,.063000001,.80000001,*,*,*,*,*
10.4,1.743,1.0599999,*,"42,950",3.5,*,"35,900"
23.299999,.098999999,.75999999,*,"29,970",9.8,*,"22,830"
33.200001,.023,.61000001,23.38,"48,620",24.2,15.3,"31,830"
17.9,.114,1.0599999,28.42,"59,110",7.4,23.01,"47,850"
12.3,.579,2.05,38.89,*,5.4,29.6,*
29.5,.22,1.1,26.5,"55,130",7.2,21.6,"44,930"
27.4,.096000001,1.73,19.76,"41,100",11.1,14.03,"29,190"
13.5,.296,1.09,27.99,"58,230",7,22.14,"46,050"
6.1999998,1.675,1.02,33.53,"69,740",3,28.89,"60,080"
7.6999998,.85600001,1.26,39.23,"81,610",2.8,32.25,"67,090"
8.6999998,.28600001,.81999999,41.59,"86,510",2.2,39.73,"82,650"
7.4000001,.79799998,2.51,52.61,"109,430",5.1,37.35,"77,690"
8,.43799999,1.1799999,24.95,"51,890",4.8,25.94,"53,940"
12.3,1.09,7.2199998,28.65,"59,590",5.1,26.07,"54,210"
7.4000001,1.652,3.24,26.16,"54,410",3.4,21.74,"45,210"
10.9,.495,2.3199999,22.29,"46,360",3.7,18.77,"39,040"
9.1000004,.60900003,6.4899998,39.64,"82,460",6.1,32.65,"67,910"
7.3000002,.50300002,1.45,27.69,"57,600",4,25.57,"53,180"
9.1000004,.81599998,5.5700002,36.75,"76,430",5.7,32.17,"66,910"
