AREA,AREA_NAME,Short_name,OCC_TITLE,Short_title,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_MEDIAN,A_MEDIAN
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Accountants and Auditors,Accountants and Audi,"58,520",3.2,9.678,1.11,39.74,"82,670",1.5,35.6,"74,050"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Appraisers and Assessors of Real Estate,Appraisers and Asses,"1,810",12.7,0.299,0.72,40.52,"84,290",2.7,40.4,"84,030"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Budget Analysts,Budget Analysts,"2,570",8.8,0.425,1.11,45.42,"94,470",1.7,44.31,"92,160"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Credit Analysts,Credit Analysts,"3,560",7.8,0.588,1.12,44.04,"91,610",3,36.71,"76,360"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Financial Analysts,Financial Analysts,"12,340",4.9,2.041,0.99,49.27,"102,470",1.9,43.41,"90,300"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Personal Financial Advisors,Personal Financial A,"10,540",7.8,1.743,1.24,62.47,"129,940",5.3,45.03,"93,660"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Insurance Underwriters,Insurance Underwrite,"3,050",11.8,0.505,0.8,42.88,"89,190",3.7,37.52,"78,030"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Financial Examiners,Financial Examiners,"1,740",9.2,0.287,0.78,48.82,"101,540",4.1,45.09,"93,780"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Credit Counselors,Credit Counselors,"1,620",12.8,0.268,1.06,28.04,"58,320",3.1,24.78,"51,550"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Loan Officers,Loan Officers,"16,820",8.4,2.781,1.29,38.03,"79,100",3.5,30.8,"64,060"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Tax Examiners and Collectors, and Revenue Agents",Tax Examiners and Co,"1,620",0.7,0.268,0.67,39.59,"82,340",2.8,38.84,"80,790"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Tax Preparers,Tax Preparers,"4,770",13.4,0.789,1.64,28.61,"59,510",4.8,26.41,"54,930"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Financial Specialists, All Other",Financial Specialist,"6,110",7.2,1.011,1.14,38.16,"79,370",2.5,34.1,"70,930"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Computer and Information Research Scientists,Computer and Informa,"1,240",26.6,0.206,1.05,58.24,"121,140",4.3,56.36,"117,220"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Computer Systems Analysts,Computer Systems Ana,"20,000",6.9,3.307,0.81,45.53,"94,710",1.2,44.64,"92,860"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Information Security Analysts,Information Security,"3,030",7.2,0.501,0.68,48.25,"100,360",2,48.87,"101,650"
